125.000;LEFT;06:26:52;06:26:56	;3.78
125.000;LEFT;06:26:59;06:27:02	;2.76
125.000;LEFT;06:27:06;06:27:09	;2.62
125.000;LEFT;06:27:12;06:27:13	;1.60
125.000;LEFT;06:27:16;06:27:19	;2.78
125.000;LEFT;06:27:20;06:27:23	;2.87
125.000;LEFT;06:27:27;06:27:30	;3.50
125.000;LEFT;06:27:35;06:27:37	;2.27
125.000;LEFT;06:27:40;06:27:45	;4.10
125.000;LEFT;06:27:49;06:27:51	;2.52
125.000;LEFT;06:28:09;06:28:11	;2.51
125.000;LEFT;06:28:22;06:28:25	;2.74
125.000;LEFT;06:28:25;06:28:29	;3.40
125.000;LEFT;06:28:35;06:28:38	;3.16
125.000;LEFT;06:28:45;06:28:48	;3.40
125.000;LEFT;06:29:14;06:29:16	;2.56
125.000;LEFT;06:30:05;06:30:08	;2.91
125.000;LEFT;06:30:18;06:30:23	;5.12
125.000;LEFT;06:30:26;06:30:29	;2.54
125.000;LEFT;06:30:32;06:30:34	;1.96
125.000;LEFT;06:30:59;06:31:03	;4.04
125.000;LEFT;06:31:09;06:31:12	;2.94
125.000;LEFT;06:31:31;06:31:34	;3.50
125.000;LEFT;06:31:43;06:31:46	;2.76
125.000;LEFT;06:31:47;06:31:50	;3.32
125.000;LEFT;06:31:55;06:32:00	;4.72
125.000;LEFT;06:32:10;06:32:12	;2.02
125.000;LEFT;06:32:13;06:32:18	;4.86
125.000;LEFT;06:32:21;06:32:25	;4.00
125.000;LEFT;06:33:10;06:33:13	;2.78
125.000;LEFT;06:34:31;06:34:33	;1.92
125.000;LEFT;06:34:35;06:34:38	;3.42
125.000;LEFT;06:34:43;06:34:46	;3.02
125.000;LEFT;06:34:51;06:34:54	;3.43
125.000;LEFT;06:34:55;06:34:59	;3.64
125.000;LEFT;06:35:06;06:35:09	;3.40
125.000;LEFT;06:35:12;06:35:15	;3.00
125.000;LEFT;06:35:21;06:35:23	;1.56
125.000;LEFT;06:35:26;06:35:30	;3.96
125.000;LEFT;06:35:33;06:35:36	;2.78
125.000;LEFT;06:36:14;06:36:17	;2.58
125.000;LEFT;06:36:17;06:36:20	;3.02
125.000;LEFT;06:36:26;06:36:28	;2.34
125.000;LEFT;06:36:29;06:36:34	;5.22
125.000;LEFT;06:36:39;06:36:40	;1.86
125.000;LEFT;06:36:49;06:36:52	;2.96
125.000;LEFT;06:36:58;06:36:59	;1.78
125.000;LEFT;06:37:19;06:37:22	;3.10
125.000;LEFT;06:37:26;06:37:28	;2.42
125.000;LEFT;06:37:38;06:37:40	;2.12
125.000;LEFT;06:37:42;06:37:45	;2.78
125.000;LEFT;06:37:49;06:37:52	;3.40
