120.200;LEFT;06:00:58;06:01:01	;3.15
120.200;LEFT;06:01:08;06:01:11	;2.12
120.200;LEFT;06:01:17;06:01:22	;4.42
120.200;LEFT;06:01:26;06:01:30	;4.42
120.200;LEFT;06:01:41;06:01:46	;5.21
120.200;LEFT;06:03:25;06:03:29	;3.52
120.200;LEFT;06:05:22;06:05:27	;4.94
120.200;LEFT;06:05:38;06:05:40	;2.42
120.200;LEFT;06:05:48;06:05:51	;3.49
120.200;LEFT;06:07:00;06:07:08	;7.48
120.200;LEFT;06:07:15;06:07:17	;2.50
120.200;LEFT;06:07:21;06:07:24	;2.78
120.200;LEFT;06:07:48;06:07:51	;3.19
120.200;LEFT;06:08:02;06:08:07	;5.14
120.200;LEFT;06:09:07;06:09:12	;5.04
120.200;LEFT;06:09:40;06:09:43	;3.68
120.200;LEFT;06:11:19;06:11:23	;4.66
120.200;LEFT;06:11:28;06:11:33	;4.26
120.200;LEFT;06:12:00;06:12:04	;3.98
120.200;LEFT;06:12:12;06:12:16	;3.67
120.200;LEFT;06:14:12;06:14:15	;3.32
120.200;LEFT;06:14:50;06:14:52	;2.59
120.200;LEFT;06:15:18;06:15:21	;3.71
120.200;LEFT;06:15:28;06:15:31	;2.98
120.200;LEFT;06:16:41;06:16:46	;4.93
120.200;LEFT;06:16:55;06:16:58	;3.04
120.200;LEFT;06:16:59;06:17:00	;1.10
120.200;LEFT;06:17:06;06:17:10	;4.12
120.200;LEFT;06:17:16;06:17:21	;5.50
120.200;LEFT;06:17:28;06:17:32	;3.75
120.200;LEFT;06:17:35;06:17:38	;2.39
120.200;LEFT;06:17:48;06:17:52	;4.19
120.200;LEFT;06:17:57;06:17:59	;2.26
120.200;LEFT;06:18:02;06:18:07	;5.12
120.200;LEFT;06:18:17;06:18:23	;6.54
120.200;LEFT;06:18:33;06:18:47	;13.40
120.200;LEFT;06:18:52;06:18:57	;5.44
120.200;LEFT;06:19:02;06:19:08	;5.67
120.200;LEFT;06:19:10;06:19:15	;4.55
120.200;LEFT;06:19:23;06:19:26	;3.24
120.200;LEFT;06:19:51;06:19:55	;3.79
120.200;LEFT;06:20:19;06:20:22	;3.06
120.200;LEFT;06:20:45;06:20:47	;2.90
120.200;LEFT;06:21:11;06:21:15	;4.30
120.200;LEFT;06:23:03;06:23:06	;3.38
120.200;LEFT;06:23:11;06:23:14	;3.92
120.200;LEFT;06:24:21;06:24:25	;3.62
120.200;LEFT;06:25:17;06:25:20	;3.54
120.200;LEFT;06:25:28;06:25:34	;6.10
120.200;LEFT;06:25:37;06:25:41	;3.34
120.200;LEFT;06:26:21;06:26:27	;5.54
120.200;LEFT;06:26:34;06:26:39	;5.88
120.200;LEFT;06:27:21;06:27:27	;5.34
120.200;LEFT;06:27:31;06:27:33	;2.11
120.200;LEFT;06:28:12;06:28:17	;4.91
120.200;LEFT;06:28:26;06:28:29	;3.23
120.200;LEFT;06:28:54;06:28:58	;3.98
120.200;LEFT;06:29:03;06:29:05	;2.76
120.200;LEFT;06:31:55;06:32:00	;5.24
120.200;LEFT;06:32:11;06:32:15	;3.42
120.200;LEFT;06:32:18;06:32:19	;1.49
120.200;LEFT;06:32:28;06:32:32	;3.94
120.200;LEFT;06:33:13;06:33:17	;4.22
120.200;LEFT;06:35:02;06:35:09	;6.83
120.200;LEFT;06:35:15;06:35:19	;4.14
120.200;LEFT;06:35:25;06:35:29	;3.60
120.200;LEFT;06:37:10;06:37:14	;4.26
120.200;LEFT;06:37:18;06:37:22	;3.90
120.200;LEFT;06:37:32;06:37:34	;2.72
120.200;LEFT;06:37:50;06:37:53	;2.98
120.200;LEFT;06:38:01;06:38:04	;2.82
