133.500;LEFT;05:59:33;05:59:37	;3.98
133.500;LEFT;05:59:38;05:59:42	;4.18
133.500;LEFT;06:00:00;06:00:04	;4.58
133.500;LEFT;06:00:05;06:00:09	;4.14
133.500;LEFT;06:01:10;06:01:14	;3.98
133.500;LEFT;06:01:15;06:01:18	;2.91
133.500;LEFT;06:01:20;06:01:25	;4.38
133.500;LEFT;06:01:26;06:01:29	;3.26
133.500;LEFT;06:01:30;06:01:33	;2.92
133.500;LEFT;06:01:34;06:01:37	;3.58
133.500;LEFT;06:01:41;06:01:44	;3.42
133.500;LEFT;06:01:45;06:01:48	;3.07
133.500;LEFT;06:01:50;06:01:54	;4.31
133.500;LEFT;06:01:56;06:01:59	;3.62
133.500;LEFT;06:02:02;06:02:10	;8.04
133.500;LEFT;06:02:10;06:02:13	;2.98
133.500;LEFT;06:02:18;06:02:21	;2.91
133.500;LEFT;06:02:22;06:02:25	;3.18
133.500;LEFT;06:02:54;06:02:57	;3.38
133.500;LEFT;06:02:58;06:03:01	;3.39
133.500;LEFT;06:03:03;06:03:07	;3.74
133.500;LEFT;06:03:07;06:03:10	;2.98
133.500;LEFT;06:03:23;06:03:31	;7.64
133.500;LEFT;06:03:31;06:03:36	;4.40
133.500;LEFT;06:04:47;06:04:50	;3.30
133.500;LEFT;06:04:51;06:04:56	;4.55
133.500;LEFT;06:05:26;06:05:29	;2.79
133.500;LEFT;06:05:29;06:05:34	;4.96
133.500;LEFT;06:05:35;06:05:38	;2.95
133.500;LEFT;06:05:38;06:05:41	;2.19
133.500;LEFT;06:05:42;06:05:54	;11.43
133.500;LEFT;06:05:57;06:06:00	;2.68
133.500;LEFT;06:06:01;06:06:05	;3.90
133.500;LEFT;06:06:28;06:06:31	;3.18
133.500;LEFT;06:06:32;06:06:35	;3.68
133.500;LEFT;06:06:46;06:06:50	;3.62
133.500;LEFT;06:06:51;06:06:54	;2.58
133.500;LEFT;06:06:55;06:06:58	;3.32
133.500;LEFT;06:07:29;06:07:32	;3.10
133.500;LEFT;06:07:33;06:07:37	;3.63
133.500;LEFT;06:07:39;06:07:45	;6.67
133.500;LEFT;06:07:46;06:07:48	;2.18
133.500;LEFT;06:07:58;06:08:00	;2.70
133.500;LEFT;06:08:01;06:08:04	;2.86
133.500;LEFT;06:08:30;06:08:33	;2.94
133.500;LEFT;06:08:34;06:08:38	;4.20
133.500;LEFT;06:09:11;06:09:13	;2.75
133.500;LEFT;06:09:14;06:09:17	;2.62
133.500;LEFT;06:09:32;06:09:34	;2.59
133.500;LEFT;06:09:35;06:09:38	;2.67
133.500;LEFT;06:09:50;06:09:57	;6.88
133.500;LEFT;06:10:21;06:10:24	;2.88
133.500;LEFT;06:10:24;06:10:28	;3.38
133.500;LEFT;06:10:42;06:10:45	;2.62
133.500;LEFT;06:10:45;06:10:49	;3.42
133.500;LEFT;06:10:53;06:11:00	;7.07
133.500;LEFT;06:11:00;06:11:03	;2.43
133.500;LEFT;06:11:15;06:11:18	;2.96
133.500;LEFT;06:11:19;06:11:22	;3.15
133.500;LEFT;06:11:24;06:11:33	;8.70
133.500;LEFT;06:11:33;06:11:43	;9.35
133.500;LEFT;06:11:52;06:11:56	;3.98
133.500;LEFT;06:11:57;06:12:00	;3.55
133.500;LEFT;06:12:08;06:12:10	;2.06
133.500;LEFT;06:12:11;06:12:14	;3.15
133.500;LEFT;06:12:15;06:12:21	;5.82
133.500;LEFT;06:12:25;06:12:28	;3.02
133.500;LEFT;06:12:29;06:12:33	;3.51
133.500;LEFT;06:12:57;06:13:00	;2.06
133.500;LEFT;06:13:00;06:13:04	;4.18
133.500;LEFT;06:13:55;06:13:58	;2.06
133.500;LEFT;06:13:59;06:14:02	;3.84
133.500;LEFT;06:14:03;06:14:05	;1.96
133.500;LEFT;06:14:06;06:14:08	;2.38
133.500;LEFT;06:14:09;06:14:12	;2.92
133.500;LEFT;06:14:12;06:14:16	;3.82
133.500;LEFT;06:14:18;06:14:22	;3.90
133.500;LEFT;06:14:26;06:14:27	;0.94
133.500;LEFT;06:14:28;06:14:37	;8.95
133.500;LEFT;06:14:46;06:14:49	;2.62
133.500;LEFT;06:14:50;06:14:52	;1.87
133.500;LEFT;06:14:57;06:14:59	;2.31
