136.100;LEFT;05:59:05;05:59:07	;2.24
136.100;LEFT;05:59:37;05:59:37	;0.46
136.100;LEFT;05:59:41;05:59:44	;2.78
136.100;LEFT;06:00:52;06:00:56	;3.36
136.100;LEFT;06:01:03;06:01:06	;2.74
136.100;LEFT;06:01:13;06:01:16	;3.27
136.100;LEFT;06:01:23;06:01:26	;3.54
136.100;LEFT;06:01:31;06:01:34	;2.73
136.100;LEFT;06:02:29;06:02:32	;2.94
136.100;LEFT;06:02:57;06:03:01	;4.42
136.100;LEFT;06:03:39;06:03:41	;2.86
136.100;LEFT;06:04:28;06:04:36	;8.38
136.100;LEFT;06:04:48;06:04:52	;3.48
136.100;LEFT;06:07:38;06:07:45	;6.46
136.100;LEFT;06:07:52;06:07:56	;4.50
136.100;LEFT;06:08:04;06:08:09	;5.34
136.100;LEFT;06:08:39;06:08:45	;6.44
136.100;LEFT;06:08:59;06:09:00	;1.90
136.100;LEFT;06:09:08;06:09:13	;5.32
136.100;LEFT;06:09:14;06:09:20	;5.98
136.100;LEFT;06:09:30;06:09:37	;7.26
136.100;LEFT;06:09:50;06:09:56	;5.66
136.100;LEFT;06:10:01;06:10:05	;3.83
136.100;LEFT;06:10:09;06:10:14	;5.68
136.100;LEFT;06:10:30;06:10:36	;6.34
136.100;LEFT;06:10:39;06:10:42	;2.74
136.100;LEFT;06:10:51;06:10:55	;3.66
136.100;LEFT;06:11:00;06:11:03	;2.26
136.100;LEFT;06:11:06;06:11:08	;2.00
136.100;LEFT;06:11:31;06:11:36	;4.23
136.100;LEFT;06:11:43;06:11:44	;1.18
136.100;LEFT;06:11:49;06:11:52	;2.50
136.100;LEFT;06:11:54;06:12:00	;5.80
136.100;LEFT;06:12:08;06:12:10	;2.87
136.100;LEFT;06:12:13;06:12:14	;1.71
136.100;LEFT;06:12:23;06:12:29	;5.82
136.100;LEFT;06:12:35;06:12:38	;2.84
136.100;LEFT;06:12:47;06:12:52	;4.55
136.100;LEFT;06:13:08;06:13:13	;4.22
136.100;LEFT;06:13:20;06:13:22	;2.71
136.100;LEFT;06:13:25;06:13:30	;5.96
136.100;LEFT;06:13:36;06:13:40	;3.46
136.100;LEFT;06:13:46;06:13:50	;4.22
136.100;LEFT;06:13:55;06:13:59	;3.50
136.100;LEFT;06:14:12;06:14:16	;3.72
136.100;LEFT;06:14:30;06:14:33	;3.48
136.100;LEFT;06:14:38;06:14:41	;2.90
136.100;LEFT;06:14:46;06:14:49	;2.92
136.100;LEFT;06:14:56;06:15:00	;3.82
136.100;LEFT;06:15:05;06:15:09	;4.35
136.100;LEFT;06:15:16;06:15:20	;3.58
