121.100;LEFT;05:59:00;05:59:01	;0.86
121.100;LEFT;05:59:37;05:59:43	;5.82
121.100;LEFT;05:59:45;05:59:50	;5.66
121.100;LEFT;05:59:52;05:59:58	;6.26
121.100;LEFT;06:00:04;06:00:05	;1.14
121.100;LEFT;06:00:07;06:00:10	;3.34
121.100;LEFT;06:01:15;06:01:25	;9.76
121.100;LEFT;06:01:25;06:01:30	;4.91
121.100;LEFT;06:01:31;06:01:34	;3.16
121.100;LEFT;06:01:34;06:01:38	;3.88
121.100;LEFT;06:03:49;06:03:57	;8.30
121.100;LEFT;06:05:34;06:05:44	;9.84
121.100;LEFT;06:05:45;06:05:49	;4.68
121.100;LEFT;06:06:08;06:06:17	;9.18
121.100;LEFT;06:06:18;06:06:22	;4.62
121.100;LEFT;06:06:23;06:06:26	;2.82
121.100;LEFT;06:07:09;06:07:16	;6.56
121.100;LEFT;06:07:32;06:07:36	;4.00
121.100;LEFT;06:07:36;06:07:41	;4.74
121.100;LEFT;06:08:18;06:08:21	;3.02
121.100;LEFT;06:08:21;06:08:24	;3.08
121.100;LEFT;06:08:51;06:08:55	;3.84
121.100;LEFT;06:08:55;06:09:01	;5.86
121.100;LEFT;06:09:02;06:09:08	;5.34
121.100;LEFT;06:09:11;06:09:14	;3.70
121.100;LEFT;06:09:15;06:09:17	;2.43
121.100;LEFT;06:11:37;06:11:52	;14.88
121.100;LEFT;06:11:56;06:11:59	;3.24
121.100;LEFT;06:11:59;06:12:02	;2.74
121.100;LEFT;06:14:01;06:14:04	;3.24
121.100;LEFT;06:14:05;06:14:08	;3.60
121.100;LEFT;06:14:25;06:14:29	;4.38
121.100;LEFT;06:14:29;06:14:34	;4.96
121.100;LEFT;06:14:48;06:14:50	;2.71
121.100;LEFT;06:14:51;06:14:56	;5.20
121.100;LEFT;06:14:57;06:15:00	;3.03
121.100;LEFT;06:15:08;06:15:12	;3.92
121.100;LEFT;06:15:13;06:15:16	;3.38
121.100;LEFT;06:15:34;06:15:37	;3.28
121.100;LEFT;06:15:37;06:15:40	;2.26
121.100;LEFT;06:15:42;06:15:46	;4.03
121.100;LEFT;06:15:46;06:15:49	;2.90
121.100;LEFT;06:15:49;06:15:52	;2.18
121.100;LEFT;06:16:15;06:16:20	;4.86
121.100;LEFT;06:16:23;06:16:30	;7.27
121.100;LEFT;06:16:42;06:16:45	;3.20
121.100;LEFT;06:16:46;06:16:49	;3.20
121.100;LEFT;06:17:00;06:17:04	;4.07
121.100;LEFT;06:17:04;06:17:09	;4.54
121.100;LEFT;06:17:30;06:17:33	;3.18
121.100;LEFT;06:17:34;06:17:37	;3.12
121.100;LEFT;06:17:41;06:17:51	;9.86
121.100;LEFT;06:18:05;06:18:10	;4.56
121.100;LEFT;06:18:11;06:18:13	;2.68
121.100;LEFT;06:19:46;06:19:51	;5.30
121.100;LEFT;06:19:52;06:19:56	;3.92
121.100;LEFT;06:19:58;06:20:08	;9.70
121.100;LEFT;06:20:30;06:20:36	;6.28
121.100;LEFT;06:20:39;06:20:45	;5.76
121.100;LEFT;06:21:13;06:21:17	;3.22
121.100;LEFT;06:21:18;06:21:22	;3.76
121.100;LEFT;06:23:35;06:23:48	;13.36
121.100;LEFT;06:24:34;06:24:37	;3.56
121.100;LEFT;06:24:38;06:24:41	;2.66
121.100;LEFT;06:25:30;06:25:39	;9.48
121.100;LEFT;06:25:43;06:25:47	;4.06
121.100;LEFT;06:25:47;06:25:55	;7.60
121.100;LEFT;06:25:56;06:26:09	;13.22
121.100;LEFT;06:26:58;06:27:02	;4.00
121.100;LEFT;06:27:02;06:27:07	;4.54
121.100;LEFT;06:27:07;06:27:12	;4.54
121.100;LEFT;06:27:14;06:27:17	;3.22
121.100;LEFT;06:27:19;06:27:22	;3.83
121.100;LEFT;06:27:23;06:27:26	;3.06
121.100;LEFT;06:27:27;06:27:31	;3.38
121.100;LEFT;06:28:13;06:28:15	;2.74
121.100;LEFT;06:28:16;06:28:19	;2.80
121.100;LEFT;06:28:51;06:28:59	;8.30
121.100;LEFT;06:28:59;06:29:01	;1.46
121.100;LEFT;06:29:04;06:29:15	;11.02
121.100;LEFT;06:29:16;06:29:16	;0.42
