123.400;LEFT;06:00:31;06:00:36	;4.76
123.400;LEFT;06:00:40;06:00:44	;3.72
123.400;LEFT;06:00:55;06:01:00	;4.44
123.400;LEFT;06:01:09;06:01:10	;1.78
123.400;LEFT;06:03:44;06:03:49	;4.26
123.400;LEFT;06:03:51;06:03:55	;3.46
123.400;LEFT;06:04:04;06:04:08	;3.53
123.400;LEFT;06:04:41;06:04:43	;2.46
123.400;LEFT;06:04:54;06:05:01	;6.82
123.400;LEFT;06:05:05;06:05:09	;4.28
123.400;LEFT;06:05:29;06:05:32	;3.06
123.400;LEFT;06:05:39;06:05:42	;2.58
123.400;LEFT;06:06:08;06:06:10	;2.44
123.400;LEFT;06:06:55;06:06:59	;4.50
123.400;LEFT;06:08:09;06:08:10	;1.30
123.400;LEFT;06:08:23;06:08:25	;2.18
123.400;LEFT;06:08:30;06:08:33	;2.74
123.400;LEFT;06:08:42;06:08:45	;2.78
123.400;LEFT;06:08:47;06:08:51	;4.50
123.400;LEFT;06:08:58;06:09:01	;2.92
123.400;LEFT;06:09:14;06:09:16	;2.28
123.400;LEFT;06:09:32;06:09:33	;1.18
123.400;LEFT;06:09:36;06:09:37	;1.66
123.400;LEFT;06:09:44;06:09:48	;3.42
123.400;LEFT;06:09:55;06:09:57	;1.84
123.400;LEFT;06:10:49;06:10:52	;2.50
123.400;LEFT;06:11:26;06:11:29	;2.74
123.400;LEFT;06:11:33;06:11:35	;2.14
123.400;LEFT;06:11:41;06:11:44	;3.22
123.400;LEFT;06:12:29;06:12:32	;3.14
123.400;LEFT;06:12:43;06:12:45	;2.40
123.400;LEFT;06:13:00;06:13:01	;1.30
123.400;LEFT;06:13:25;06:13:31	;6.50
123.400;LEFT;06:13:39;06:13:43	;4.46
123.400;LEFT;06:13:46;06:13:49	;2.86
123.400;LEFT;06:13:53;06:13:58	;4.98
123.400;LEFT;06:14:02;06:14:05	;3.26
123.400;LEFT;06:14:29;06:14:30	;1.16
123.400;LEFT;06:14:38;06:14:39	;1.26
123.400;LEFT;06:14:49;06:14:51	;1.48
123.400;LEFT;06:14:55;06:14:56	;1.04
