134.600;LEFT;05:59:56;05:59:58	;2.65
134.600;LEFT;06:01:09;06:01:12	;3.48
134.600;LEFT;06:03:14;06:03:18	;3.81
134.600;LEFT;06:03:20;06:03:24	;4.16
134.600;LEFT;06:03:28;06:03:32	;3.74
134.600;LEFT;06:03:33;06:03:37	;3.24
134.600;LEFT;06:03:41;06:03:43	;2.06
134.600;LEFT;06:03:50;06:03:55	;4.69
134.600;LEFT;06:04:00;06:04:03	;3.14
134.600;LEFT;06:04:11;06:04:15	;4.17
134.600;LEFT;06:04:26;06:04:28	;1.66
134.600;LEFT;06:04:39;06:04:40	;1.53
134.600;LEFT;06:04:45;06:04:49	;4.00
134.600;LEFT;06:05:18;06:05:19	;1.14
134.600;LEFT;06:05:22;06:05:24	;1.76
134.600;LEFT;06:05:26;06:05:29	;3.50
134.600;LEFT;06:05:35;06:05:39	;3.98
134.600;LEFT;06:06:37;06:06:40	;2.98
134.600;LEFT;06:07:31;06:07:34	;2.68
134.600;LEFT;06:07:35;06:07:39	;3.28
134.600;LEFT;06:07:43;06:07:46	;2.63
134.600;LEFT;06:08:46;06:08:48	;2.30
134.600;LEFT;06:09:08;06:09:11	;3.62
134.600;LEFT;06:09:15;06:09:17	;2.41
134.600;LEFT;06:09:21;06:09:25	;3.62
134.600;LEFT;06:09:32;06:09:36	;4.32
134.600;LEFT;06:10:25;06:10:29	;4.30
134.600;LEFT;06:10:34;06:10:39	;5.33
134.600;LEFT;06:10:50;06:10:51	;1.86
134.600;LEFT;06:11:50;06:11:54	;3.18
134.600;LEFT;06:12:15;06:12:18	;3.36
134.600;LEFT;06:12:28;06:12:31	;3.00
134.600;LEFT;06:12:35;06:12:37	;1.74
134.600;LEFT;06:12:52;06:12:54	;1.94
134.600;LEFT;06:12:56;06:12:58	;1.80
134.600;LEFT;06:13:03;06:13:05	;2.61
134.600;LEFT;06:14:10;06:14:13	;2.90
134.600;LEFT;06:14:23;06:14:26	;3.10
134.600;LEFT;06:14:30;06:14:32	;2.54
134.600;LEFT;06:15:17;06:15:21	;3.82
134.600;LEFT;06:15:23;06:15:26	;3.86
134.600;LEFT;06:15:34;06:15:38	;3.50
134.600;LEFT;06:16:51;06:16:54	;2.66
134.600;LEFT;06:16:59;06:17:02	;2.43
134.600;LEFT;06:17:07;06:17:10	;2.38
134.600;LEFT;06:17:28;06:17:31	;3.05
134.600;LEFT;06:18:24;06:18:28	;4.05
134.600;LEFT;06:18:30;06:18:33	;3.65
134.600;LEFT;06:18:40;06:18:44	;3.68
134.600;LEFT;06:18:52;06:18:54	;2.13
134.600;LEFT;06:18:58;06:18:59	;1.50
134.600;LEFT;06:19:10;06:19:12	;2.22
134.600;LEFT;06:21:14;06:21:17	;3.08
134.600;LEFT;06:21:41;06:21:42	;1.40
134.600;LEFT;06:21:43;06:21:44	;1.36
134.600;LEFT;06:21:49;06:21:52	;2.73
134.600;LEFT;06:21:56;06:22:00	;4.06
134.600;LEFT;06:22:02;06:22:06	;3.78
134.600;LEFT;06:22:12;06:22:16	;4.05
134.600;LEFT;06:23:16;06:23:20	;3.74
134.600;LEFT;06:24:38;06:24:42	;4.42
134.600;LEFT;06:25:11;06:25:15	;3.52
134.600;LEFT;06:25:20;06:25:23	;3.14
134.600;LEFT;06:25:28;06:25:30	;2.60
134.600;LEFT;06:25:44;06:25:48	;3.72
134.600;LEFT;06:26:11;06:26:12	;1.01
134.600;LEFT;06:26:13;06:26:16	;3.30
134.600;LEFT;06:26:29;06:26:33	;4.10
134.600;LEFT;06:26:40;06:26:43	;3.30
134.600;LEFT;06:26:58;06:27:02	;4.41
134.600;LEFT;06:27:16;06:27:20	;3.70
134.600;LEFT;06:27:25;06:27:28	;3.24
134.600;LEFT;06:27:35;06:27:37	;1.98
134.600;LEFT;06:27:42;06:27:43	;1.14
134.600;LEFT;06:29:50;06:29:53	;3.01
134.600;LEFT;06:30:03;06:30:07	;3.22
134.600;LEFT;06:30:10;06:30:15	;4.52
134.600;LEFT;06:30:22;06:30:27	;5.37
134.600;LEFT;06:31:49;06:31:51	;1.68
134.600;LEFT;06:31:55;06:31:59	;4.14
134.600;LEFT;06:33:13;06:33:16	;3.70
134.600;LEFT;06:33:42;06:33:46	;4.22
134.600;LEFT;06:33:53;06:33:59	;5.25
134.600;LEFT;06:33:59;06:34:02	;2.46
134.600;LEFT;06:34:08;06:34:11	;3.02
134.600;LEFT;06:34:14;06:34:16	;1.37
134.600;LEFT;06:34:29;06:34:33	;3.86
134.600;LEFT;06:34:40;06:34:42	;2.34
134.600;LEFT;06:34:47;06:34:50	;3.20
134.600;LEFT;06:35:24;06:35:26	;2.68
134.600;LEFT;06:35:37;06:35:41	;3.70
134.600;LEFT;06:35:48;06:35:51	;2.60
134.600;LEFT;06:36:26;06:36:28	;2.13
134.600;LEFT;06:36:32;06:36:36	;3.68
134.600;LEFT;06:37:04;06:37:08	;4.18
134.600;LEFT;06:37:14;06:37:18	;4.21
134.600;LEFT;06:37:25;06:37:26	;1.56
134.600;LEFT;06:37:31;06:37:35	;3.22
134.600;LEFT;06:37:39;06:37:42	;3.40
134.600;LEFT;06:37:47;06:37:49	;1.98
134.600;LEFT;06:37:56;06:38:01	;4.66
134.600;LEFT;06:38:07;06:38:12	;5.00
134.600;LEFT;06:38:26;06:38:29	;2.85
134.600;LEFT;06:38:37;06:38:39	;2.54
134.600;LEFT;06:38:52;06:38:54	;2.58
134.600;LEFT;06:39:31;06:39:34	;2.84
134.600;LEFT;06:39:37;06:39:39	;1.54
134.600;LEFT;06:40:00;06:40:02	;1.96
134.600;LEFT;06:40:59;06:41:02	;2.77
134.600;LEFT;06:42:22;06:42:25	;3.06
134.600;LEFT;06:42:50;06:42:54	;4.68
134.600;LEFT;06:43:03;06:43:06	;3.38
134.600;LEFT;06:43:10;06:43:12	;1.92
134.600;LEFT;06:43:17;06:43:19	;1.98
134.600;LEFT;06:43:21;06:43:26	;5.06
134.600;LEFT;06:43:29;06:43:31	;1.78
134.600;LEFT;06:43:38;06:43:42	;4.40
134.600;LEFT;06:43:59;06:44:02	;2.78
134.600;LEFT;06:44:29;06:44:33	;3.48
