124.700;LEFT;06:23:31;06:23:37	;5.67
124.700;LEFT;06:23:42;06:23:45	;3.68
124.700;LEFT;06:24:11;06:24:13	;2.47
124.700;LEFT;06:24:21;06:24:24	;2.29
124.700;LEFT;06:24:28;06:24:32	;3.56
124.700;LEFT;06:24:35;06:24:40	;4.09
124.700;LEFT;06:24:44;06:24:47	;3.84
124.700;LEFT;06:24:53;06:24:59	;5.37
124.700;LEFT;06:25:03;06:25:07	;3.54
124.700;LEFT;06:25:09;06:25:10	;0.62
124.700;LEFT;06:25:14;06:25:16	;1.93
124.700;LEFT;06:25:17;06:25:17	;0.50
124.700;LEFT;06:25:20;06:25:21	;0.99
124.700;LEFT;06:25:25;06:25:28	;2.39
124.700;LEFT;06:25:41;06:25:46	;5.43
124.700;LEFT;06:25:50;06:25:52	;2.62
124.700;LEFT;06:26:34;06:26:38	;3.98
124.700;LEFT;06:26:43;06:26:46	;3.43
124.700;LEFT;06:26:51;06:26:55	;3.22
124.700;LEFT;06:27:04;06:27:08	;3.14
124.700;LEFT;06:27:17;06:27:18	;0.72
124.700;LEFT;06:27:28;06:27:30	;2.66
124.700;LEFT;06:27:34;06:27:39	;4.77
124.700;LEFT;06:27:44;06:27:48	;3.47
124.700;LEFT;06:27:51;06:27:55	;3.66
124.700;LEFT;06:27:58;06:28:02	;4.22
124.700;LEFT;06:28:05;06:28:08	;2.66
124.700;LEFT;06:28:12;06:28:16	;4.03
124.700;LEFT;06:28:17;06:28:23	;5.34
124.700;LEFT;06:28:26;06:28:29	;2.74
124.700;LEFT;06:28:33;06:28:38	;5.82
124.700;LEFT;06:28:48;06:28:50	;2.48
124.700;LEFT;06:28:51;06:28:55	;4.48
124.700;LEFT;06:28:59;06:29:02	;2.90
124.700;LEFT;06:29:09;06:29:12	;3.82
124.700;LEFT;06:29:15;06:29:18	;2.96
124.700;LEFT;06:29:28;06:29:30	;1.75
124.700;LEFT;06:29:33;06:29:35	;1.90
124.700;LEFT;06:29:39;06:29:41	;1.82
124.700;LEFT;06:29:43;06:29:46	;3.62
124.700;LEFT;06:29:50;06:29:54	;3.58
124.700;LEFT;06:29:58;06:30:02	;3.67
124.700;LEFT;06:30:02;06:30:07	;4.98
124.700;LEFT;06:30:11;06:30:16	;4.40
124.700;LEFT;06:30:23;06:30:25	;2.67
124.700;LEFT;06:30:28;06:30:30	;1.78
124.700;LEFT;06:30:32;06:30:37	;4.60
124.700;LEFT;06:30:42;06:30:45	;3.13
124.700;LEFT;06:30:51;06:30:54	;2.74
124.700;LEFT;06:30:57;06:31:00	;2.75
124.700;LEFT;06:31:06;06:31:09	;3.18
124.700;LEFT;06:31:13;06:31:18	;5.52
124.700;LEFT;06:31:23;06:31:26	;3.14
124.700;LEFT;06:31:30;06:31:31	;1.46
124.700;LEFT;06:31:37;06:31:39	;1.84
124.700;LEFT;06:31:44;06:31:47	;2.58
124.700;LEFT;06:32:20;06:32:21	;1.50
124.700;LEFT;06:32:31;06:32:36	;5.02
124.700;LEFT;06:32:40;06:32:44	;3.98
124.700;LEFT;06:33:07;06:33:07	;0.46
124.700;LEFT;06:33:08;06:33:12	;3.74
124.700;LEFT;06:33:13;06:33:19	;5.74
124.700;LEFT;06:33:28;06:33:30	;1.86
124.700;LEFT;06:33:34;06:33:40	;6.38
124.700;LEFT;06:33:44;06:33:48	;3.68
124.700;LEFT;06:33:52;06:33:53	;1.22
124.700;LEFT;06:33:57;06:33:59	;2.02
124.700;LEFT;06:34:02;06:34:05	;2.32
124.700;LEFT;06:34:09;06:34:10	;0.94
124.700;LEFT;06:34:16;06:34:18	;2.48
124.700;LEFT;06:34:21;06:34:23	;2.56
124.700;LEFT;06:34:26;06:34:28	;2.48
124.700;LEFT;06:34:32;06:34:35	;2.34
124.700;LEFT;06:34:35;06:34:40	;4.63
