127.300;LEFT;05:59:27;05:59:28	;1.59
127.300;LEFT;05:59:30;05:59:31	;1.48
127.300;LEFT;05:59:54;05:59:57	;3.76
127.300;LEFT;05:59:58;06:00:07	;8.80
127.300;LEFT;06:00:08;06:00:17	;8.42
127.300;LEFT;06:00:17;06:00:22	;4.58
127.300;LEFT;06:01:01;06:01:08	;7.36
127.300;LEFT;06:01:09;06:01:11	;2.14
127.300;LEFT;06:01:36;06:01:42	;5.22
127.300;LEFT;06:01:42;06:01:47	;4.04
127.300;LEFT;06:01:54;06:01:57	;3.79
127.300;LEFT;06:01:58;06:02:00	;2.34
127.300;LEFT;06:02:53;06:02:55	;2.32
127.300;LEFT;06:02:57;06:02:59	;2.06
127.300;LEFT;06:03:20;06:03:23	;2.93
127.300;LEFT;06:03:23;06:03:26	;2.82
127.300;LEFT;06:03:27;06:03:30	;3.60
127.300;LEFT;06:03:35;06:03:38	;3.36
127.300;LEFT;06:03:40;06:03:43	;2.54
127.300;LEFT;06:03:43;06:03:45	;1.17
127.300;LEFT;06:03:52;06:03:55	;3.22
127.300;LEFT;06:03:56;06:03:58	;2.10
127.300;LEFT;06:05:21;06:05:25	;4.29
127.300;LEFT;06:05:26;06:05:29	;3.10
127.300;LEFT;06:05:45;06:05:47	;2.58
127.300;LEFT;06:05:48;06:05:53	;5.24
127.300;LEFT;06:06:10;06:06:12	;2.26
127.300;LEFT;06:06:13;06:06:14	;0.77
127.300;LEFT;06:06:15;06:06:17	;2.34
127.300;LEFT;06:06:19;06:06:22	;3.70
127.300;LEFT;06:06:23;06:06:25	;2.16
127.300;LEFT;06:06:36;06:06:40	;3.73
127.300;LEFT;06:06:41;06:06:46	;5.14
127.300;LEFT;06:06:47;06:06:50	;2.92
127.300;LEFT;06:06:50;06:06:55	;4.27
127.300;LEFT;06:06:55;06:07:03	;7.38
127.300;LEFT;06:07:07;06:07:09	;2.70
127.300;LEFT;06:07:10;06:07:13	;2.42
127.300;LEFT;06:07:14;06:07:16	;2.00
127.300;LEFT;06:07:16;06:07:23	;6.53
127.300;LEFT;06:07:35;06:07:39	;4.34
127.300;LEFT;06:07:40;06:07:46	;5.38
127.300;LEFT;06:07:46;06:07:47	;0.63
127.300;LEFT;06:07:48;06:07:51	;2.80
127.300;LEFT;06:07:52;06:07:53	;1.30
