128.900;LEFT;06:00:26;06:00:26	;0.54
128.900;LEFT;06:01:37;06:01:43	;6.41
128.900;LEFT;06:01:44;06:01:46	;2.90
128.900;LEFT;06:02:26;06:02:32	;5.99
128.900;LEFT;06:02:35;06:02:38	;2.50
128.900;LEFT;06:02:38;06:02:39	;0.71
128.900;LEFT;06:02:41;06:02:46	;5.46
128.900;LEFT;06:02:47;06:02:49	;2.10
128.900;LEFT;06:03:04;06:03:10	;5.27
128.900;LEFT;06:03:10;06:03:12	;2.23
128.900;LEFT;06:03:13;06:03:14	;1.50
128.900;LEFT;06:03:16;06:03:24	;8.34
128.900;LEFT;06:03:25;06:03:31	;5.84
128.900;LEFT;06:03:32;06:03:34	;2.70
128.900;LEFT;06:03:35;06:03:42	;7.01
128.900;LEFT;06:03:56;06:04:00	;4.21
128.900;LEFT;06:04:07;06:04:10	;2.69
128.900;LEFT;06:04:11;06:04:17	;5.92
128.900;LEFT;06:04:22;06:04:29	;7.16
128.900;LEFT;06:04:37;06:04:41	;4.29
128.900;LEFT;06:04:42;06:04:45	;3.51
128.900;LEFT;06:05:10;06:05:15	;5.70
128.900;LEFT;06:05:16;06:05:18	;2.40
128.900;LEFT;06:05:19;06:05:21	;2.61
128.900;LEFT;06:05:22;06:05:28	;5.55
128.900;LEFT;06:05:28;06:05:29	;0.76
128.900;LEFT;06:06:24;06:06:34	;9.16
128.900;LEFT;06:06:34;06:06:42	;7.98
128.900;LEFT;06:06:43;06:06:47	;4.06
128.900;LEFT;06:06:48;06:06:55	;7.85
128.900;LEFT;06:06:57;06:06:59	;2.06
128.900;LEFT;06:06:59;06:07:03	;3.58
128.900;LEFT;06:07:04;06:07:06	;2.58
128.900;LEFT;06:07:34;06:07:40	;6.00
128.900;LEFT;06:07:41;06:07:42	;1.55
128.900;LEFT;06:07:43;06:07:45	;1.54
128.900;LEFT;06:07:46;06:07:50	;4.22
128.900;LEFT;06:07:53;06:07:58	;4.30
128.900;LEFT;06:07:58;06:08:01	;2.90
128.900;LEFT;06:08:02;06:08:09	;6.70
128.900;LEFT;06:08:09;06:08:13	;3.43
128.900;LEFT;06:08:15;06:08:18	;3.56
128.900;LEFT;06:08:19;06:08:21	;1.96
128.900;LEFT;06:08:24;06:08:26	;2.26
128.900;LEFT;06:08:27;06:08:29	;2.70
128.900;LEFT;06:08:30;06:08:33	;3.26
128.900;LEFT;06:08:36;06:08:39	;3.03
128.900;LEFT;06:08:39;06:08:43	;3.81
128.900;LEFT;06:08:47;06:08:49	;2.50
128.900;LEFT;06:08:50;06:09:00	;10.18
128.900;LEFT;06:09:04;06:09:06	;2.33
128.900;LEFT;06:09:07;06:09:09	;2.48
128.900;LEFT;06:09:10;06:09:12	;2.06
128.900;LEFT;06:09:15;06:09:17	;2.40
128.900;LEFT;06:09:19;06:09:20	;1.34
128.900;LEFT;06:09:21;06:09:27	;5.94
128.900;LEFT;06:09:30;06:09:37	;7.18
128.900;LEFT;06:09:53;06:09:59	;5.98
128.900;LEFT;06:10:00;06:10:03	;3.40
128.900;LEFT;06:10:05;06:10:08	;3.38
128.900;LEFT;06:10:12;06:10:14	;2.54
128.900;LEFT;06:10:15;06:10:17	;1.80
128.900;LEFT;06:10:17;06:10:19	;1.94
128.900;LEFT;06:10:20;06:10:23	;2.26
128.900;LEFT;06:10:45;06:10:49	;3.63
128.900;LEFT;06:10:50;06:10:53	;3.60
128.900;LEFT;06:10:55;06:11:02	;6.78
128.900;LEFT;06:11:03;06:11:07	;4.28
128.900;LEFT;06:11:11;06:11:12	;1.64
128.900;LEFT;06:11:13;06:11:15	;2.22
128.900;LEFT;06:11:18;06:11:20	;1.99
128.900;LEFT;06:11:21;06:11:27	;5.26
128.900;LEFT;06:11:27;06:11:30	;3.18
128.900;LEFT;06:11:31;06:11:34	;3.02
128.900;LEFT;06:11:45;06:11:48	;2.34
128.900;LEFT;06:11:49;06:11:52	;3.02
128.900;LEFT;06:12:01;06:12:07	;6.74
128.900;LEFT;06:12:08;06:12:11	;2.58
128.900;LEFT;06:12:12;06:12:14	;2.10
128.900;LEFT;06:12:15;06:12:17	;1.49
128.900;LEFT;06:12:17;06:12:18	;0.74
128.900;LEFT;06:12:19;06:12:21	;1.88
128.900;LEFT;06:12:38;06:12:46	;8.30
128.900;LEFT;06:12:46;06:12:48	;1.60
128.900;LEFT;06:12:49;06:12:53	;4.10
128.900;LEFT;06:13:23;06:13:26	;3.04
128.900;LEFT;06:13:26;06:13:29	;2.65
128.900;LEFT;06:14:02;06:14:09	;7.34
128.900;LEFT;06:14:10;06:14:12	;2.29
128.900;LEFT;06:14:13;06:14:16	;2.67
128.900;LEFT;06:14:19;06:14:26	;7.50
128.900;LEFT;06:14:27;06:14:30	;3.46
128.900;LEFT;06:15:13;06:15:23	;9.98
128.900;LEFT;06:15:24;06:15:25	;1.32
128.900;LEFT;06:15:26;06:15:28	;2.02
128.900;LEFT;06:16:16;06:16:19	;3.00
128.900;LEFT;06:16:19;06:16:23	;3.14
128.900;LEFT;06:16:26;06:16:34	;7.18
128.900;LEFT;06:16:34;06:16:36	;1.30
128.900;LEFT;06:16:36;06:16:38	;2.10
128.900;LEFT;06:17:26;06:17:31	;5.67
128.900;LEFT;06:17:34;06:17:42	;8.47
128.900;LEFT;06:17:43;06:17:45	;2.04
128.900;LEFT;06:17:46;06:17:53	;6.63
128.900;LEFT;06:18:35;06:18:42	;7.34
128.900;LEFT;06:18:44;06:18:51	;6.61
128.900;LEFT;06:18:53;06:19:15	;21.95
128.900;LEFT;06:19:20;06:19:26	;5.76
128.900;LEFT;06:19:26;06:19:31	;4.66
128.900;LEFT;06:19:54;06:19:58	;4.40
128.900;LEFT;06:20:00;06:20:03	;3.01
128.900;LEFT;06:20:04;06:20:09	;5.21
128.900;LEFT;06:20:11;06:20:12	;0.59
128.900;LEFT;06:20:12;06:20:14	;2.13
128.900;LEFT;06:20:17;06:20:22	;4.76
128.900;LEFT;06:20:24;06:20:26	;2.45
128.900;LEFT;06:20:28;06:20:29	;1.23
128.900;LEFT;06:20:29;06:20:32	;2.93
128.900;LEFT;06:20:33;06:20:36	;2.96
128.900;LEFT;06:20:51;06:20:54	;3.88
128.900;LEFT;06:20:55;06:20:58	;3.34
128.900;LEFT;06:21:25;06:21:29	;3.74
128.900;LEFT;06:21:31;06:21:32	;0.66
128.900;LEFT;06:21:33;06:21:38	;4.96
128.900;LEFT;06:21:38;06:21:39	;0.94
128.900;LEFT;06:21:40;06:21:41	;0.98
128.900;LEFT;06:21:42;06:21:44	;1.26
128.900;LEFT;06:21:46;06:21:47	;1.48
128.900;LEFT;06:21:48;06:21:50	;1.66
128.900;LEFT;06:21:54;06:22:00	;5.86
128.900;LEFT;06:22:01;06:22:04	;3.15
128.900;LEFT;06:22:05;06:22:17	;12.31
128.900;LEFT;06:22:28;06:22:30	;2.09
128.900;LEFT;06:22:33;06:22:35	;2.62
128.900;LEFT;06:22:42;06:22:49	;6.24
128.900;LEFT;06:22:50;06:22:53	;3.18
128.900;LEFT;06:22:54;06:22:56	;2.01
128.900;LEFT;06:24:07;06:24:12	;4.66
128.900;LEFT;06:24:16;06:24:19	;3.68
128.900;LEFT;06:24:21;06:24:31	;9.94
128.900;LEFT;06:24:31;06:24:37	;5.90
128.900;LEFT;06:24:38;06:24:44	;6.38
128.900;LEFT;06:25:32;06:25:38	;5.51
128.900;LEFT;06:25:40;06:25:43	;3.71
128.900;LEFT;06:25:44;06:25:47	;2.50
128.900;LEFT;06:25:47;06:25:53	;5.82
128.900;LEFT;06:26:07;06:26:14	;7.36
128.900;LEFT;06:26:15;06:26:26	;10.94
128.900;LEFT;06:27:29;06:27:36	;7.42
128.900;LEFT;06:27:37;06:27:41	;3.38
128.900;LEFT;06:27:43;06:27:45	;2.46
128.900;LEFT;06:27:46;06:27:52	;5.86
128.900;LEFT;06:27:53;06:27:54	;0.98
128.900;LEFT;06:27:54;06:27:58	;3.90
128.900;LEFT;06:27:59;06:28:14	;14.57
128.900;LEFT;06:28:46;06:28:50	;3.96
128.900;LEFT;06:28:51;06:28:55	;3.66
128.900;LEFT;06:28:55;06:28:58	;2.57
128.900;LEFT;06:29:12;06:29:15	;3.20
128.900;LEFT;06:29:16;06:29:19	;2.86
128.900;LEFT;06:29:41;06:29:48	;7.48
128.900;LEFT;06:29:52;06:29:56	;3.81
128.900;LEFT;06:29:56;06:30:00	;3.82
128.900;LEFT;06:30:01;06:30:05	;3.90
128.900;LEFT;06:30:14;06:30:17	;3.87
128.900;LEFT;06:31:05;06:31:10	;4.82
128.900;LEFT;06:31:12;06:31:18	;5.44
128.900;LEFT;06:31:18;06:31:21	;2.60
128.900;LEFT;06:31:21;06:31:23	;1.55
128.900;LEFT;06:31:23;06:31:24	;1.00
128.900;LEFT;06:31:25;06:31:28	;2.78
128.900;LEFT;06:31:29;06:31:31	;2.19
128.900;LEFT;06:31:32;06:31:42	;9.66
128.900;LEFT;06:31:43;06:31:46	;3.16
128.900;LEFT;06:31:47;06:31:50	;3.05
128.900;LEFT;06:31:50;06:32:00	;9.60
128.900;LEFT;06:32:01;06:32:03	;2.59
128.900;LEFT;06:32:08;06:32:08	;0.44
128.900;LEFT;06:32:09;06:32:17	;8.18
128.900;LEFT;06:32:18;06:32:25	;7.10
128.900;LEFT;06:33:11;06:33:13	;2.40
128.900;LEFT;06:33:14;06:33:18	;4.28
128.900;LEFT;06:33:19;06:33:22	;2.73
128.900;LEFT;06:33:22;06:33:27	;5.48
128.900;LEFT;06:33:29;06:33:34	;5.29
128.900;LEFT;06:33:38;06:33:39	;1.48
128.900;LEFT;06:33:40;06:33:53	;12.78
128.900;LEFT;06:33:56;06:34:02	;5.42
128.900;LEFT;06:34:24;06:34:32	;8.10
128.900;LEFT;06:34:33;06:34:36	;3.63
128.900;LEFT;06:34:38;06:34:41	;2.52
128.900;LEFT;06:34:43;06:34:45	;1.97
128.900;LEFT;06:34:46;06:34:48	;2.11
128.900;LEFT;06:34:49;06:34:55	;6.11
128.900;LEFT;06:34:59;06:35:05	;5.62
128.900;LEFT;06:35:09;06:35:13	;4.29
128.900;LEFT;06:35:14;06:35:18	;4.15
