135.200;LEFT;05:59:26;05:59:32	;6.35
135.200;LEFT;05:59:33;05:59:36	;3.23
135.200;LEFT;05:59:57;05:59:59	;1.78
135.200;LEFT;06:00:01;06:00:12	;10.61
135.200;LEFT;06:00:12;06:00:22	;10.22
135.200;LEFT;06:00:27;06:00:32	;5.72
135.200;LEFT;06:00:34;06:00:48	;13.78
135.200;LEFT;06:01:26;06:01:31	;5.06
135.200;LEFT;06:01:32;06:01:36	;4.02
135.200;LEFT;06:03:04;06:03:10	;6.38
135.200;LEFT;06:03:13;06:03:21	;7.44
135.200;LEFT;06:03:21;06:03:35	;14.00
135.200;LEFT;06:03:36;06:03:41	;5.10
135.200;LEFT;06:03:42;06:03:45	;3.98
135.200;LEFT;06:03:48;06:03:54	;5.32
135.200;LEFT;06:03:55;06:03:58	;3.17
135.200;LEFT;06:04:01;06:04:11	;10.10
135.200;LEFT;06:04:21;06:04:24	;2.44
135.200;LEFT;06:04:31;06:04:35	;3.95
135.200;LEFT;06:04:35;06:04:40	;4.40
135.200;LEFT;06:04:40;06:04:46	;5.37
135.200;LEFT;06:04:46;06:04:50	;4.02
135.200;LEFT;06:04:59;06:05:05	;5.27
135.200;LEFT;06:05:05;06:05:09	;4.16
135.200;LEFT;06:06:27;06:06:36	;9.00
135.200;LEFT;06:08:08;06:08:16	;8.30
135.200;LEFT;06:08:17;06:08:26	;8.48
135.200;LEFT;06:08:26;06:08:32	;5.94
135.200;LEFT;06:08:32;06:08:36	;3.10
135.200;LEFT;06:08:40;06:08:43	;2.93
135.200;LEFT;06:08:44;06:08:47	;2.82
135.200;LEFT;06:09:13;06:09:21	;8.38
135.200;LEFT;06:09:42;06:09:47	;4.76
135.200;LEFT;06:09:48;06:09:51	;3.76
135.200;LEFT;06:09:53;06:10:04	;11.35
135.200;LEFT;06:10:05;06:10:32	;26.92
135.200;LEFT;06:10:36;06:10:40	;3.62
135.200;LEFT;06:10:41;06:10:44	;3.66
135.200;LEFT;06:11:03;06:11:07	;4.18
135.200;LEFT;06:11:08;06:11:12	;3.62
135.200;LEFT;06:11:14;06:11:29	;15.67
135.200;LEFT;06:11:30;06:11:34	;3.84
135.200;LEFT;06:11:35;06:11:38	;3.18
135.200;LEFT;06:11:39;06:11:42	;3.22
135.200;LEFT;06:11:57;06:12:04	;7.38
135.200;LEFT;06:12:10;06:12:11	;0.54
135.200;LEFT;06:12:11;06:12:46	;34.91
135.200;LEFT;06:13:04;06:13:13	;8.72
135.200;LEFT;06:13:23;06:13:26	;3.04
135.200;LEFT;06:13:26;06:13:39	;12.46
135.200;LEFT;06:14:26;06:14:30	;4.40
135.200;LEFT;06:14:38;06:14:43	;5.14
135.200;LEFT;06:14:44;06:14:47	;2.82
135.200;LEFT;06:14:48;06:14:54	;6.68
135.200;LEFT;06:14:56;06:15:00	;4.33
135.200;LEFT;06:15:31;06:15:38	;6.59
135.200;LEFT;06:15:38;06:15:46	;7.92
135.200;LEFT;06:16:10;06:16:23	;12.28
135.200;LEFT;06:16:49;06:16:55	;6.18
135.200;LEFT;06:16:57;06:17:01	;3.90
135.200;LEFT;06:17:01;06:17:07	;5.86
135.200;LEFT;06:17:08;06:17:13	;5.58
135.200;LEFT;06:17:15;06:17:24	;9.63
135.200;LEFT;06:17:25;06:17:56	;30.12
135.200;LEFT;06:17:57;06:18:01	;3.20
135.200;LEFT;06:18:03;06:18:06	;3.44
135.200;LEFT;06:18:08;06:18:15	;7.54
135.200;LEFT;06:18:16;06:18:32	;15.84
135.200;LEFT;06:18:40;06:18:58	;17.70
135.200;LEFT;06:19:01;06:19:03	;2.76
135.200;LEFT;06:19:06;06:19:09	;2.70
135.200;LEFT;06:19:12;06:19:15	;3.26
135.200;LEFT;06:19:16;06:19:19	;3.48
135.200;LEFT;06:19:27;06:19:33	;6.00
135.200;LEFT;06:19:37;06:19:41	;3.04
135.200;LEFT;06:19:42;06:19:47	;5.36
135.200;LEFT;06:19:48;06:20:03	;15.46
135.200;LEFT;06:20:06;06:20:08	;2.19
135.200;LEFT;06:20:09;06:20:11	;2.30
135.200;LEFT;06:20:13;06:20:26	;12.78
135.200;LEFT;06:20:27;06:20:41	;13.25
135.200;LEFT;06:21:00;06:21:05	;5.11
135.200;LEFT;06:21:05;06:21:10	;4.86
135.200;LEFT;06:21:10;06:21:15	;4.52
135.200;LEFT;06:21:21;06:21:33	;11.68
135.200;LEFT;06:21:34;06:21:44	;10.08
135.200;LEFT;06:21:45;06:22:12	;26.76
135.200;LEFT;06:22:12;06:22:16	;3.96
135.200;LEFT;06:22:17;06:22:18	;0.96
135.200;LEFT;06:22:25;06:22:37	;11.54
135.200;LEFT;06:22:39;06:22:41	;1.22
135.200;LEFT;06:22:41;06:22:45	;3.92
135.200;LEFT;06:22:46;06:22:50	;4.24
135.200;LEFT;06:23:00;06:23:14	;13.52
135.200;LEFT;06:23:22;06:23:32	;9.55
135.200;LEFT;06:23:32;06:23:34	;1.90
135.200;LEFT;06:23:50;06:23:52	;1.66
135.200;LEFT;06:23:54;06:23:58	;3.92
135.200;LEFT;06:23:59;06:24:04	;5.44
135.200;LEFT;06:24:08;06:24:17	;8.79
135.200;LEFT;06:26:23;06:26:29	;5.58
135.200;LEFT;06:26:34;06:26:42	;8.14
135.200;LEFT;06:26:47;06:27:03	;15.68
135.200;LEFT;06:28:45;06:28:56	;10.66
135.200;LEFT;06:29:02;06:29:11	;8.40
135.200;LEFT;06:30:16;06:30:30	;14.42
135.200;LEFT;06:30:31;06:30:35	;3.44
135.200;LEFT;06:30:36;06:31:03	;26.78
135.200;LEFT;06:31:04;06:31:25	;21.06
135.200;LEFT;06:31:26;06:31:30	;3.94
135.200;LEFT;06:31:31;06:31:36	;4.66
135.200;LEFT;06:31:41;06:31:43	;2.37
135.200;LEFT;06:31:45;06:31:47	;1.96
135.200;LEFT;06:31:48;06:31:54	;5.84
135.200;LEFT;06:31:59;06:32:03	;4.48
135.200;LEFT;06:32:05;06:32:20	;14.50
135.200;LEFT;06:32:20;06:32:24	;3.76
135.200;LEFT;06:32:24;06:32:33	;8.32
135.200;LEFT;06:32:33;06:32:40	;6.16
135.200;LEFT;06:32:40;06:32:52	;11.68
135.200;LEFT;06:32:54;06:33:03	;8.88
135.200;LEFT;06:33:03;06:33:23	;19.58
135.200;LEFT;06:33:24;06:33:29	;5.54
135.200;LEFT;06:33:30;06:33:34	;3.60
135.200;LEFT;06:33:54;06:34:02	;7.66
135.200;LEFT;06:34:10;06:34:25	;14.72
135.200;LEFT;06:34:34;06:34:38	;3.97
135.200;LEFT;06:34:39;06:34:43	;4.20
135.200;LEFT;06:34:45;06:34:50	;4.78
135.200;LEFT;06:34:52;06:34:58	;5.86
135.200;LEFT;06:34:59;06:35:03	;4.22
135.200;LEFT;06:35:15;06:35:21	;6.36
135.200;LEFT;06:35:22;06:35:26	;4.20
135.200;LEFT;06:35:27;06:35:30	;3.26
135.200;LEFT;06:35:32;06:35:40	;8.38
135.200;LEFT;06:35:57;06:36:01	;4.26
135.200;LEFT;06:36:06;06:36:17	;11.00
135.200;LEFT;06:36:21;06:36:27	;5.52
135.200;LEFT;06:36:29;06:36:34	;5.26
135.200;LEFT;06:36:35;06:36:39	;4.24
135.200;LEFT;06:36:51;06:36:58	;6.66
135.200;LEFT;06:37:19;06:37:23	;4.44
135.200;LEFT;06:37:24;06:37:40	;15.86
135.200;LEFT;06:38:03;06:38:05	;2.86
135.200;LEFT;06:38:07;06:38:11	;4.23
135.200;LEFT;06:38:12;06:38:25	;13.27
135.200;LEFT;06:38:26;06:38:28	;2.28
135.200;LEFT;06:40:06;06:40:20	;13.56
135.200;LEFT;06:40:23;06:40:31	;7.68
135.200;LEFT;06:41:07;06:41:15	;7.80
135.200;LEFT;06:41:25;06:41:32	;6.82
135.200;LEFT;06:41:58;06:42:03	;5.75
135.200;LEFT;06:42:04;06:42:11	;7.28
135.200;LEFT;06:42:12;06:42:13	;1.43
135.200;LEFT;06:43:11;06:43:18	;6.78
135.200;LEFT;06:44:36;06:44:44	;8.38
135.200;LEFT;06:44:46;06:44:58	;11.94
135.200;LEFT;06:45:00;06:45:01	;1.32
135.200;LEFT;06:45:05;06:45:05	;0.52
135.200;LEFT;06:45:06;06:45:11	;4.24
135.200;LEFT;06:45:12;06:45:25	;12.66
135.200;LEFT;06:45:25;06:45:34	;8.64
135.200;LEFT;06:46:00;06:46:08	;7.80
135.200;LEFT;06:49:21;06:49:22	;0.71
135.200;LEFT;06:49:37;06:49:51	;13.66
135.200;LEFT;06:49:52;06:49:55	;3.98
135.200;LEFT;06:50:01;06:50:19	;17.68
135.200;LEFT;06:50:27;06:50:31	;4.27
135.200;LEFT;06:50:32;06:50:39	;6.78
135.200;LEFT;06:50:40;06:50:41	;1.14
135.200;LEFT;06:51:37;06:51:46	;8.84
135.200;LEFT;06:52:05;06:52:08	;3.38
135.200;LEFT;06:52:09;06:52:27	;17.58
135.200;LEFT;06:52:27;06:52:36	;8.38
135.200;LEFT;06:52:36;06:52:41	;4.38
135.200;LEFT;06:52:51;06:52:56	;5.18
135.200;LEFT;06:52:57;06:53:12	;15.35
135.200;LEFT;06:53:13;06:53:17	;4.86
135.200;LEFT;06:53:22;06:53:33	;10.47
135.200;LEFT;06:54:40;06:54:51	;10.80
135.200;LEFT;06:55:09;06:55:23	;14.68
135.200;LEFT;06:55:26;06:55:28	;2.32
135.200;LEFT;06:55:28;06:55:31	;2.50
135.200;LEFT;06:55:32;06:55:41	;9.46
135.200;LEFT;06:55:42;06:55:52	;10.35
135.200;LEFT;06:55:53;06:55:53	;0.44
135.200;LEFT;06:56:03;06:56:11	;8.02
135.200;LEFT;06:56:46;06:56:48	;1.44
135.200;LEFT;06:56:49;06:56:54	;4.62
135.200;LEFT;06:56:55;06:57:00	;4.98
135.200;LEFT;06:57:02;06:57:06	;4.18
135.200;LEFT;06:57:07;06:57:12	;5.14
135.200;LEFT;06:57:14;06:57:24	;9.86
135.200;LEFT;06:57:35;06:57:37	;1.88
135.200;LEFT;06:57:53;06:57:57	;4.26
135.200;LEFT;06:57:58;06:58:02	;3.87
135.200;LEFT;06:58:02;06:58:10	;7.34
