126.800;LEFT;06:01:45;06:01:49	;4.02
126.800;LEFT;06:01:50;06:01:59	;9.15
126.800;LEFT;06:04:07;06:04:10	;2.52
126.800;LEFT;06:04:10;06:04:16	;5.34
126.800;LEFT;06:04:17;06:04:22	;4.74
126.800;LEFT;06:07:22;06:07:26	;3.50
126.800;LEFT;06:07:29;06:07:39	;10.29
126.800;LEFT;06:09:23;06:09:26	;2.58
126.800;LEFT;06:09:27;06:09:32	;5.43
126.800;LEFT;06:09:33;06:09:37	;4.70
126.800;LEFT;06:09:59;06:10:02	;2.36
126.800;LEFT;06:10:03;06:10:08	;5.63
126.800;LEFT;06:12:06;06:12:09	;3.10
126.800;LEFT;06:12:10;06:12:19	;8.90
126.800;LEFT;06:12:41;06:12:47	;5.88
126.800;LEFT;06:12:48;06:12:56	;8.82
126.800;LEFT;06:13:55;06:13:57	;2.40
126.800;LEFT;06:13:57;06:14:00	;2.56
126.800;LEFT;06:14:15;06:14:19	;3.52
126.800;LEFT;06:14:20;06:14:28	;8.88
126.800;LEFT;06:14:48;06:14:49	;1.90
126.800;LEFT;06:14:53;06:14:57	;3.90
126.800;LEFT;06:15:15;06:15:18	;2.59
126.800;LEFT;06:15:18;06:15:20	;2.06
126.800;LEFT;06:15:21;06:15:29	;8.22
126.800;LEFT;06:15:46;06:15:50	;3.51
126.800;LEFT;06:15:54;06:15:57	;3.18
126.800;LEFT;06:16:26;06:16:29	;3.04
126.800;LEFT;06:16:30;06:16:34	;4.64
126.800;LEFT;06:16:39;06:16:42	;3.15
126.800;LEFT;06:16:42;06:16:46	;3.58
126.800;LEFT;06:16:46;06:16:51	;4.31
126.800;LEFT;06:17:56;06:18:00	;4.88
126.800;LEFT;06:18:08;06:18:13	;5.22
126.800;LEFT;06:18:22;06:18:26	;3.83
126.800;LEFT;06:18:26;06:18:32	;5.34
126.800;LEFT;06:18:32;06:18:36	;3.42
126.800;LEFT;06:18:36;06:18:39	;2.86
126.800;LEFT;06:18:49;06:18:52	;2.94
126.800;LEFT;06:18:54;06:18:59	;4.78
126.800;LEFT;06:19:54;06:19:58	;3.34
126.800;LEFT;06:19:59;06:20:02	;3.56
126.800;LEFT;06:20:02;06:20:10	;7.39
126.800;LEFT;06:20:42;06:20:45	;3.34
126.800;LEFT;06:20:45;06:20:50	;4.31
126.800;LEFT;06:20:50;06:20:55	;4.47
126.800;LEFT;06:22:07;06:22:08	;1.30
126.800;LEFT;06:22:10;06:22:12	;2.24
126.800;LEFT;06:22:12;06:22:17	;4.04
126.800;LEFT;06:22:17;06:22:22	;5.18
126.800;LEFT;06:22:23;06:22:25	;2.56
126.800;LEFT;06:22:26;06:22:28	;1.96
126.800;LEFT;06:23:17;06:23:21	;4.27
126.800;LEFT;06:23:22;06:23:26	;4.46
126.800;LEFT;06:24:59;06:25:06	;6.50
126.800;LEFT;06:25:16;06:25:19	;2.78
126.800;LEFT;06:25:20;06:25:23	;3.26
126.800;LEFT;06:25:27;06:25:33	;5.75
126.800;LEFT;06:25:42;06:25:48	;6.62
126.800;LEFT;06:26:14;06:26:24	;10.18
126.800;LEFT;06:26:25;06:26:30	;5.75
126.800;LEFT;06:27:37;06:27:40	;2.18
126.800;LEFT;06:27:41;06:27:52	;10.66
126.800;LEFT;06:28:02;06:28:09	;7.14
126.800;LEFT;06:29:06;06:29:11	;5.18
126.800;LEFT;06:29:20;06:29:23	;3.12
126.800;LEFT;06:29:24;06:29:32	;8.34
126.800;LEFT;06:30:15;06:30:18	;3.10
126.800;LEFT;06:30:18;06:30:20	;2.19
126.800;LEFT;06:30:36;06:30:38	;2.42
126.800;LEFT;06:30:39;06:30:41	;1.99
126.800;LEFT;06:30:56;06:30:58	;2.74
126.800;LEFT;06:30:59;06:31:04	;4.18
126.800;LEFT;06:31:04;06:31:09	;5.07
126.800;LEFT;06:31:10;06:31:13	;3.10
126.800;LEFT;06:31:13;06:31:33	;19.82
126.800;LEFT;06:31:46;06:31:48	;2.18
126.800;LEFT;06:31:48;06:31:51	;2.68
126.800;LEFT;06:32:27;06:32:33	;5.94
126.800;LEFT;06:33:18;06:33:22	;4.12
126.800;LEFT;06:33:23;06:33:27	;4.54
126.800;LEFT;06:33:50;06:33:52	;2.10
126.800;LEFT;06:33:57;06:34:00	;3.16
126.800;LEFT;06:34:01;06:34:04	;3.58
126.800;LEFT;06:34:24;06:34:29	;5.18
126.800;LEFT;06:34:30;06:34:32	;2.24
126.800;LEFT;06:34:33;06:34:36	;3.15
126.800;LEFT;06:34:36;06:34:39	;3.18
126.800;LEFT;06:34:40;06:34:44	;3.30
126.800;LEFT;06:35:13;06:35:16	;3.10
126.800;LEFT;06:35:19;06:35:28	;9.02
126.800;LEFT;06:35:28;06:35:32	;3.64
126.800;LEFT;06:35:33;06:35:37	;4.71
126.800;LEFT;06:35:53;06:35:55	;1.96
126.800;LEFT;06:35:56;06:36:00	;3.52
126.800;LEFT;06:36:08;06:36:10	;2.39
126.800;LEFT;06:36:13;06:36:15	;2.42
126.800;LEFT;06:36:16;06:36:23	;7.32
126.800;LEFT;06:36:24;06:36:29	;4.95
